Location,HalfYear,Value
Dublin,2011H2,1054.78
Dublin,2012H1,1052.95
Dublin,2012H2,1090.15
Dublin,2013H1,1098.39
Dublin,2013H2,1140.27
Dublin,2014H1,1149.79
Dublin,2014H2,1225.25
Dublin,2015H1,1262.18
Dublin,2015H2,1339.88
Dublin,2016H1,1354.63
Dublin,2016H2,1443.23
Dublin,2017H1,1488.11
Dublin,2017H2,1575.65
Dublin,2018H1,1627.72
Dublin,2018H2,1691.44
Dublin,2019H1,1730.26
Dublin,2019H2,1779.63
Dublin,2020H1,1791.66
Dublin,2020H2,1827.47
Dublin,2021H1,1825.32
Wicklow,2008H1,1122.95
Wicklow,2008H2,1091.2
Wicklow,2009H1,1039.25
Wicklow,2009H2,983.5
Wicklow,2010H1,922.03
Wicklow,2010H2,881.34
Wicklow,2011H1,860.87
Wicklow,2011H2,846.71
Wicklow,2012H1,841.34
Wicklow,2012H2,829.7
Wicklow,2013H1,832.98
Wicklow,2013H2,843.78
Wicklow,2014H1,867.54
Wicklow,2014H2,898.11
Wicklow,2015H1,926.69
Wicklow,2015H2,968.5
Wicklow,2016H1,1014.65
Wicklow,2016H2,1052.04
Wicklow,2017H1,1101.59
Wicklow,2017H2,1143.91
Wicklow,2018H1,1184.31
Wicklow,2018H2,1210.91
Wicklow,2019H1,1226.75
Wicklow,2019H2,1248.78
Wicklow,2020H1,1272.96
Wicklow,2020H2,1306.29
Wicklow,2021H1,1328.69
Kildare,2008H1,1031.26
Kildare,2008H2,1016.28
Kildare,2009H1,959.48
Kildare,2009H2,899.53
Kildare,2010H1,829.06
Kildare,2010H2,806.68
Kildare,2011H1,786.7
Kildare,2011H2,788.86
Kildare,2012H1,775.05
Kildare,2012H2,780.64
Kildare,2013H1,778.28
Kildare,2013H2,796.79
Kildare,2014H1,818.7
Kildare,2014H2,865.68
Kildare,2015H1,902.18
Kildare,2015H2,955.61
Kildare,2016H1,991.08
Kildare,2016H2,1037.73
Kildare,2017H1,1074.17
Kildare,2017H2,1127.29
Kildare,2018H1,1143.53
Kildare,2018H2,1186.24
Kildare,2019H1,1200.23
Kildare,2019H2,1249.4
Kildare,2020H1,1286.88
Kildare,2020H2,1321.55
Kildare,2021H1,1349.43
Cork,2008H1,922.8
Cork,2008H2,902.13
Cork,2009H1,856.25
Cork,2009H2,816.2
Cork,2010H1,767.86
Cork,2010H2,751.49
Cork,2011H1,725.02
Cork,2011H2,726.84
Cork,2012H1,710.53
Cork,2012H2,733.94
Cork,2013H1,720.03
Cork,2013H2,756.55
Cork,2014H1,739.82
Cork,2014H2,795.33
Cork,2015H1,782.1
Cork,2015H2,830.86
Cork,2016H1,851.78
Cork,2016H2,911.83
Cork,2017H1,936.69
Cork,2017H2,989.82
Cork,2018H1,1004.38
Cork,2018H2,1051.22
Cork,2019H1,1062.22
Cork,2019H2,1111.28
Cork,2020H1,1111.46
Cork,2020H2,1152.48
Cork,2021H1,1160.35
Galway,2008H1,854.73
Galway,2008H2,849.33
Galway,2009H1,801.82
Galway,2009H2,779.73
Galway,2010H1,732.19
Galway,2010H2,733.39
Galway,2011H1,702.62
Galway,2011H2,728.9
Galway,2012H1,702.99
Galway,2012H2,739.38
Galway,2013H1,706.14
Galway,2013H2,741.83
Galway,2014H1,722.93
Galway,2014H2,778.1
Galway,2015H1,768.05
Galway,2015H2,831.18
Galway,2016H1,832.55
Galway,2016H2,907.36
Galway,2017H1,902.38
Galway,2017H2,969.92
Galway,2018H1,974.64
Galway,2018H2,1040.51
Galway,2019H1,1049.03
Galway,2019H2,1115.94
Galway,2020H1,1109.17
Galway,2020H2,1162.55
Galway,2021H1,1179.93
Wicklow,2008H1,1122.95
Wicklow,2008H2,1091.2
Wicklow,2009H1,1039.25
Wicklow,2009H2,983.5
Wicklow,2010H1,922.03
Wicklow,2010H2,881.34
Wicklow,2011H1,860.87
Wicklow,2011H2,846.71
Wicklow,2012H1,841.34
Wicklow,2012H2,829.7
Wicklow,2013H1,832.98
Wicklow,2013H2,843.78
Wicklow,2014H1,867.54
Wicklow,2014H2,898.11
Wicklow,2015H1,926.69
Wicklow,2015H2,968.5
Wicklow,2016H1,1014.65
Wicklow,2016H2,1052.04
Wicklow,2017H1,1101.59
Wicklow,2017H2,1143.91
Wicklow,2018H1,1184.31
Wicklow,2018H2,1210.91
Wicklow,2019H1,1226.75
Wicklow,2019H2,1248.78
Wicklow,2020H1,1272.96
Wicklow,2020H2,1306.29
Wicklow,2021H1,1328.69
Meath,2008H1,922.08
Meath,2008H2,894.19
Meath,2009H1,845.84
Meath,2009H2,787.24
Meath,2010H1,733.9
Meath,2010H2,703.42
Meath,2011H1,690.72
Meath,2011H2,685.07
Meath,2012H1,678.15
Meath,2012H2,676.95
Meath,2013H1,674.93
Meath,2013H2,686.34
Meath,2014H1,700.74
Meath,2014H2,734.36
Meath,2015H1,773.64
Meath,2015H2,822.45
Meath,2016H1,866.63
Meath,2016H2,913.72
Meath,2017H1,966.22
Meath,2017H2,1022.08
Meath,2018H1,1073.37
Meath,2018H2,1110.44
Meath,2019H1,1134.57
Meath,2019H2,1166.53
Meath,2020H1,1189.37
Meath,2020H2,1215.28
Meath,2021H1,1234.75
Cork,2008H1,922.8
Cork,2008H2,902.13
Cork,2009H1,856.25
Cork,2009H2,816.2
Cork,2010H1,767.86
Cork,2010H2,751.49
Cork,2011H1,725.02
Cork,2011H2,726.84
Cork,2012H1,710.53
Cork,2012H2,733.94
Cork,2013H1,720.03
Cork,2013H2,756.55
Cork,2014H1,739.82
Cork,2014H2,795.33
Cork,2015H1,782.1
Cork,2015H2,830.86
Cork,2016H1,851.78
Cork,2016H2,911.83
Cork,2017H1,936.69
Cork,2017H2,989.82
Cork,2018H1,1004.38
Cork,2018H2,1051.22
Cork,2019H1,1062.22
Cork,2019H2,1111.28
Cork,2020H1,1111.46
Cork,2020H2,1152.48
Cork,2021H1,1160.35
Galway,2008H1,854.73
Galway,2008H2,849.33
Galway,2009H1,801.82
Galway,2009H2,779.73
Galway,2010H1,732.19
Galway,2010H2,733.39
Galway,2011H1,702.62
Galway,2011H2,728.9
Galway,2012H1,702.99
Galway,2012H2,739.38
Galway,2013H1,706.14
Galway,2013H2,741.83
Galway,2014H1,722.93
Galway,2014H2,778.1
Galway,2015H1,768.05
Galway,2015H2,831.18
Galway,2016H1,832.55
Galway,2016H2,907.36
Galway,2017H1,902.38
Galway,2017H2,969.92
Galway,2018H1,974.64
Galway,2018H2,1040.51
Galway,2019H1,1049.03
Galway,2019H2,1115.94
Galway,2020H1,1109.17
Galway,2020H2,1162.55
Galway,2021H1,1179.93
Kildare,2008H1,1031.26
Kildare,2008H2,1016.28
Kildare,2009H1,959.48
Kildare,2009H2,899.53
Kildare,2010H1,829.06
Kildare,2010H2,806.68
Kildare,2011H1,786.7
Kildare,2011H2,788.86
Kildare,2012H1,775.05
Kildare,2012H2,780.64
Kildare,2013H1,778.28
Kildare,2013H2,796.79
Kildare,2014H1,818.7
Kildare,2014H2,865.68
Kildare,2015H1,902.18
Kildare,2015H2,955.61
Kildare,2016H1,991.08
Kildare,2016H2,1037.73
Kildare,2017H1,1074.17
Kildare,2017H2,1127.29
Kildare,2018H1,1143.53
Kildare,2018H2,1186.24
Kildare,2019H1,1200.23
Kildare,2019H2,1249.4
Kildare,2020H1,1286.88
Kildare,2020H2,1321.55
Kildare,2021H1,1349.43
Louth,2008H1,849.73
Louth,2008H2,830.33
Louth,2009H1,779
Louth,2009H2,731.88
Louth,2010H1,679.62
Louth,2010H2,658.34
Louth,2011H1,638.39
Louth,2011H2,639.32
Louth,2012H1,625.54
Louth,2012H2,630.13
Louth,2013H1,619.99
Louth,2013H2,632.01
Louth,2014H1,640.67
Louth,2014H2,659.82
Louth,2015H1,682.42
Louth,2015H2,713.41
Louth,2016H1,754.43
Louth,2016H2,795.1
Louth,2017H1,851.72
Louth,2017H2,907.33
Louth,2018H1,949.81
Louth,2018H2,994.35
Louth,2019H1,1022.17
Louth,2019H2,1049.75
Louth,2020H1,1068.98
Louth,2020H2,1090.12
Louth,2021H1,1108.59
Limerick,2008H1,798.84
Limerick,2008H2,800.97
Limerick,2009H1,737.94
Limerick,2009H2,738.9
Limerick,2010H1,669.87
Limerick,2010H2,645.15
Limerick,2011H1,642.76
Limerick,2011H2,644.18
Limerick,2012H1,624.85
Limerick,2012H2,667.55
Limerick,2013H1,606.12
Limerick,2013H2,629.08
Limerick,2014H1,618.13
Limerick,2014H2,638.34
Limerick,2015H1,642.71
Limerick,2015H2,684.26
Limerick,2016H1,703.02
Limerick,2016H2,754.8
Limerick,2017H1,781.64
Limerick,2017H2,840.16
Limerick,2018H1,867.46
Limerick,2018H2,937.58
Limerick,2019H1,963.95
Limerick,2019H2,1011.67
Limerick,2020H1,1017.3
Limerick,2020H2,1060.87
Limerick,2021H1,1052.78
Limerick,2008H1,798.84
Limerick,2008H2,800.97
Limerick,2009H1,737.94
Limerick,2009H2,738.9
Limerick,2010H1,669.87
Limerick,2010H2,645.15
Limerick,2011H1,642.76
Limerick,2011H2,644.18
Limerick,2012H1,624.85
Limerick,2012H2,667.55
Limerick,2013H1,606.12
Limerick,2013H2,629.08
Limerick,2014H1,618.13
Limerick,2014H2,638.34
Limerick,2015H1,642.71
Limerick,2015H2,684.26
Limerick,2016H1,703.02
Limerick,2016H2,754.8
Limerick,2017H1,781.64
Limerick,2017H2,840.16
Limerick,2018H1,867.46
Limerick,2018H2,937.58
Limerick,2019H1,963.95
Limerick,2019H2,1011.67
Limerick,2020H1,1017.3
Limerick,2020H2,1060.87
Limerick,2021H1,1052.78
Kilkenny,2008H1,798.29
Kilkenny,2008H2,773.51
Kilkenny,2009H1,736.58
Kilkenny,2009H2,698.35
Kilkenny,2010H1,655.18
Kilkenny,2010H2,629.51
Kilkenny,2011H1,606.19
Kilkenny,2011H2,594.82
Kilkenny,2012H1,593.98
Kilkenny,2012H2,593.01
Kilkenny,2013H1,591.23
Kilkenny,2013H2,593.81
Kilkenny,2014H1,601.02
Kilkenny,2014H2,614.83
Kilkenny,2015H1,635.48
Kilkenny,2015H2,662.53
Kilkenny,2016H1,687.64
Kilkenny,2016H2,716.54
Kilkenny,2017H1,746.74
Kilkenny,2017H2,776.6
Kilkenny,2018H1,808.95
Kilkenny,2018H2,839.97
Kilkenny,2019H1,860.59
Kilkenny,2019H2,878.36
Kilkenny,2020H1,864.7
Kilkenny,2020H2,874.79
Kilkenny,2021H1,870.3
Kilkenny,2008H1,798.29
Kilkenny,2008H2,773.51
Kilkenny,2009H1,736.58
Kilkenny,2009H2,698.35
Kilkenny,2010H1,655.18
Kilkenny,2010H2,629.51
Kilkenny,2011H1,606.19
Kilkenny,2011H2,594.82
Kilkenny,2012H1,593.98
Kilkenny,2012H2,593.01
Kilkenny,2013H1,591.23
Kilkenny,2013H2,593.81
Kilkenny,2014H1,601.02
Kilkenny,2014H2,614.83
Kilkenny,2015H1,635.48
Kilkenny,2015H2,662.53
Kilkenny,2016H1,687.64
Kilkenny,2016H2,716.54
Kilkenny,2017H1,746.74
Kilkenny,2017H2,776.6
Kilkenny,2018H1,808.95
Kilkenny,2018H2,839.97
Kilkenny,2019H1,860.59
Kilkenny,2019H2,878.36
Kilkenny,2020H1,864.7
Kilkenny,2020H2,874.79
Kilkenny,2021H1,870.3
Carlow,2008H1,759.62
Carlow,2008H2,752.44
Carlow,2009H1,706.93
Carlow,2009H2,685.41
Carlow,2010H1,654.87
Carlow,2010H2,647.15
Carlow,2011H1,623.24
Carlow,2011H2,627.17
Carlow,2012H1,608.04
Carlow,2012H2,629.31
Carlow,2013H1,592.33
Carlow,2013H2,599.26
Carlow,2014H1,583.14
Carlow,2014H2,620.63
Carlow,2015H1,604.62
Carlow,2015H2,658.74
Carlow,2016H1,643.62
Carlow,2016H2,685.73
Carlow,2017H1,689.96
Carlow,2017H2,733.97
Carlow,2018H1,735.52
Carlow,2018H2,789.06
Carlow,2019H1,800.14
Carlow,2019H2,859.05
Carlow,2020H1,855.08
Carlow,2020H2,905.23
Carlow,2021H1,906.3
Waterford,2008H1,716.95
Waterford,2008H2,687.73
Waterford,2009H1,677.99
Waterford,2009H2,634.22
Waterford,2010H1,616.11
Waterford,2010H2,583.15
Waterford,2011H1,590.52
Waterford,2011H2,585.83
Waterford,2012H1,575.32
Waterford,2012H2,571.2
Waterford,2013H1,555.25
Waterford,2013H2,558.85
Waterford,2014H1,548.25
Waterford,2014H2,564.87
Waterford,2015H1,559.78
Waterford,2015H2,583.34
Waterford,2016H1,595.05
Waterford,2016H2,629.36
Waterford,2017H1,647.73
Waterford,2017H2,690.13
Waterford,2018H1,714.46
Waterford,2018H2,754.47
Waterford,2019H1,774.57
Waterford,2019H2,812.36
Waterford,2020H1,810.44
Waterford,2020H2,818.56
Waterford,2021H1,850.32
Laois,2008H1,724.56
Laois,2008H2,703.99
Laois,2009H1,668.82
Laois,2009H2,624.6
Laois,2010H1,581.64
Laois,2010H2,548.18
Laois,2011H1,533.6
Laois,2011H2,523.39
Laois,2012H1,520.77
Laois,2012H2,518.44
Laois,2013H1,513.89
Laois,2013H2,515.46
Laois,2014H1,523.22
Laois,2014H2,544.52
Laois,2015H1,565.62
Laois,2015H2,597.82
Laois,2016H1,627.09
Laois,2016H2,666.31
Laois,2017H1,695.24
Laois,2017H2,732.51
Laois,2018H1,761.85
Laois,2018H2,801.46
Laois,2019H1,842.42
Laois,2019H2,876.13
Laois,2020H1,890.93
Laois,2020H2,891.57
Laois,2021H1,908.28
Westmeath,2008H1,708.24
Westmeath,2008H2,673.47
Westmeath,2009H1,644.57
Westmeath,2009H2,617.42
Westmeath,2010H1,592.75
Westmeath,2010H2,574.6
Westmeath,2011H1,566.29
Westmeath,2011H2,564.1
Westmeath,2012H1,541.03
Westmeath,2012H2,539.05
Westmeath,2013H1,536.05
Westmeath,2013H2,538.58
Westmeath,2014H1,540.26
Westmeath,2014H2,551.74
Westmeath,2015H1,561.13
Westmeath,2015H2,646.47
Westmeath,2016H1,615.36
Westmeath,2016H2,650.03
Westmeath,2017H1,668.6
Westmeath,2017H2,704.9
Westmeath,2018H1,738.98
Westmeath,2018H2,772.3
Westmeath,2019H1,802.21
Westmeath,2019H2,835.62
Westmeath,2020H1,856.3
Westmeath,2020H2,879.26
Westmeath,2021H1,896.3
Waterford,2008H1,716.95
Waterford,2008H2,687.73
Waterford,2009H1,677.99
Waterford,2009H2,634.22
Waterford,2010H1,616.11
Waterford,2010H2,583.15
Waterford,2011H1,590.52
Waterford,2011H2,585.83
Waterford,2012H1,575.32
Waterford,2012H2,571.2
Waterford,2013H1,555.25
Waterford,2013H2,558.85
Waterford,2014H1,548.25
Waterford,2014H2,564.87
Waterford,2015H1,559.78
Waterford,2015H2,583.34
Waterford,2016H1,595.05
Waterford,2016H2,629.36
Waterford,2017H1,647.73
Waterford,2017H2,690.13
Waterford,2018H1,714.46
Waterford,2018H2,754.47
Waterford,2019H1,774.57
Waterford,2019H2,812.36
Waterford,2020H1,810.44
Waterford,2020H2,818.56
Waterford,2021H1,850.32
Wexford,2008H1,719.57
Wexford,2008H2,703.47
Wexford,2009H1,677.23
Wexford,2009H2,650.34
Wexford,2010H1,624.28
Wexford,2010H2,605.92
Wexford,2011H1,593.75
Wexford,2011H2,585.72
Wexford,2012H1,569.37
Wexford,2012H2,560.32
Wexford,2013H1,559.26
Wexford,2013H2,558.44
Wexford,2014H1,558.94
Wexford,2014H2,558.92
Wexford,2015H1,566.56
Wexford,2015H2,582.45
Wexford,2016H1,598.21
Wexford,2016H2,623.29
Wexford,2017H1,644.14
Wexford,2017H2,675.41
Wexford,2018H1,703.64
Wexford,2018H2,733.72
Wexford,2019H1,750.59
Wexford,2019H2,766.94
Wexford,2020H1,771.87
Wexford,2020H2,791.38
Wexford,2021H1,800.91
Sligo,2008H1,674.5
Sligo,2008H2,639.95
Sligo,2009H1,621.85
Sligo,2009H2,585.09
Sligo,2010H1,572.06
Sligo,2010H2,581.33
Sligo,2011H1,553.74
Sligo,2011H2,565.74
Sligo,2012H1,543.42
Sligo,2012H2,576.79
Sligo,2013H1,543.48
Sligo,2013H2,641.08
Sligo,2014H1,548.73
Sligo,2014H2,680.73
Sligo,2015H1,556.76
Sligo,2015H2,786.68
Sligo,2016H1,599.59
Sligo,2016H2,662.86
Sligo,2017H1,615.63
Sligo,2017H2,674.97
Sligo,2018H1,658.21
Sligo,2018H2,699.21
Sligo,2019H1,704.43
Sligo,2019H2,809.76
Sligo,2020H1,738.98
Sligo,2020H2,769.36
Sligo,2021H1,771.18
Offaly,2008H1,699.98
Offaly,2008H2,694.56
Offaly,2009H1,655.49
Offaly,2009H2,623.92
Offaly,2010H1,586.13
Offaly,2010H2,560.9
Offaly,2011H1,548.24
Offaly,2011H2,543.03
Offaly,2012H1,538.77
Offaly,2012H2,537.65
Offaly,2013H1,529.71
Offaly,2013H2,534.82
Offaly,2014H1,539.02
Offaly,2014H2,548.22
Offaly,2015H1,554.4
Offaly,2015H2,572.47
Offaly,2016H1,582.8
Offaly,2016H2,605.63
Offaly,2017H1,628.65
Offaly,2017H2,662.44
Offaly,2018H1,685.44
Offaly,2018H2,711.05
Offaly,2019H1,743.61
Offaly,2019H2,780.79
Offaly,2020H1,808.83
Offaly,2020H2,834.12
Offaly,2021H1,850.85
Kerry,2008H1,723.44
Kerry,2008H2,684.02
Kerry,2009H1,683.02
Kerry,2009H2,637.91
Kerry,2010H1,610.22
Kerry,2010H2,582.6
Kerry,2011H1,567.76
Kerry,2011H2,556.16
Kerry,2012H1,547
Kerry,2012H2,539.56
Kerry,2013H1,538.84
Kerry,2013H2,535.67
Kerry,2014H1,545.72
Kerry,2014H2,549.62
Kerry,2015H1,563
Kerry,2015H2,582.66
Kerry,2016H1,596.32
Kerry,2016H2,609.83
Kerry,2017H1,632.38
Kerry,2017H2,651.8
Kerry,2018H1,682.14
Kerry,2018H2,695.52
Kerry,2019H1,727.72
Kerry,2019H2,748.88
Kerry,2020H1,774.2
Kerry,2020H2,787.93
Kerry,2021H1,802.37
Clare,2008H1,721.29
Clare,2008H2,693.31
Clare,2009H1,665.13
Clare,2009H2,627.57
Clare,2010H1,601.28
Clare,2010H2,571.54
Clare,2011H1,557.43
Clare,2011H2,539.16
Clare,2012H1,533.5
Clare,2012H2,521.72
Clare,2013H1,526.23
Clare,2013H2,520.71
Clare,2014H1,525.04
Clare,2014H2,521.38
Clare,2015H1,529.12
Clare,2015H2,543.2
Clare,2016H1,565.92
Clare,2016H2,591.3
Clare,2017H1,620.77
Clare,2017H2,646.13
Clare,2018H1,670.8
Clare,2018H2,689.97
Clare,2019H1,718.86
Clare,2019H2,733.95
Clare,2020H1,750.83
Clare,2020H2,766.05
Clare,2021H1,797.26
Tipperary,2008H1,678.91
Tipperary,2008H2,672.69
Tipperary,2009H1,653.54
Tipperary,2009H2,629.04
Tipperary,2010H1,598.56
Tipperary,2010H2,577.76
Tipperary,2011H1,572.4
Tipperary,2011H2,564.03
Tipperary,2012H1,552.88
Tipperary,2012H2,545.32
Tipperary,2013H1,533.28
Tipperary,2013H2,537.44
Tipperary,2014H1,539.4
Tipperary,2014H2,543.26
Tipperary,2015H1,545.7
Tipperary,2015H2,550.91
Tipperary,2016H1,559.03
Tipperary,2016H2,574.41
Tipperary,2017H1,595.05
Tipperary,2017H2,614.38
Tipperary,2018H1,629.72
Tipperary,2018H2,651.51
Tipperary,2019H1,667.16
Tipperary,2019H2,690.44
Tipperary,2020H1,702.88
Tipperary,2020H2,722.56
Tipperary,2021H1,736.86
Mayo,2008H1,652.67
Mayo,2008H2,647.41
Mayo,2009H1,637.55
Mayo,2009H2,622.95
Mayo,2010H1,596.79
Mayo,2010H2,577.23
Mayo,2011H1,559.25
Mayo,2011H2,547.68
Mayo,2012H1,539.02
Mayo,2012H2,527.83
Mayo,2013H1,518.18
Mayo,2013H2,511.66
Mayo,2014H1,513.08
Mayo,2014H2,518.62
Mayo,2015H1,522.09
Mayo,2015H2,524.94
Mayo,2016H1,531.59
Mayo,2016H2,546.7
Mayo,2017H1,561.45
Mayo,2017H2,579.5
Mayo,2018H1,596.42
Mayo,2018H2,619.32
Mayo,2019H1,642.44
Mayo,2019H2,664.28
Mayo,2020H1,678.38
Mayo,2020H2,696.95
Mayo,2021H1,718.73
Monaghan,2008H1,632.72
Monaghan,2008H2,618.96
Monaghan,2009H1,582.91
Monaghan,2009H2,560.71
Monaghan,2010H1,527.87
Monaghan,2010H2,521.96
Monaghan,2011H1,508.48
Monaghan,2011H2,506.82
Monaghan,2012H1,501.76
Monaghan,2012H2,496.8
Monaghan,2013H1,490.42
Monaghan,2013H2,492.92
Monaghan,2014H1,497.43
Monaghan,2014H2,498.31
Monaghan,2015H1,500.86
Monaghan,2015H2,508.76
Monaghan,2016H1,526.06
Monaghan,2016H2,540.24
Monaghan,2017H1,562.99
Monaghan,2017H2,580.67
Monaghan,2018H1,604.55
Monaghan,2018H2,623.42
Monaghan,2019H1,650.37
Monaghan,2019H2,665.14
Monaghan,2020H1,676.14
Monaghan,2020H2,684.17
Monaghan,2021H1,692.34
Tipperary,2008H1,678.91
Tipperary,2008H2,672.69
Tipperary,2009H1,653.54
Tipperary,2009H2,629.04
Tipperary,2010H1,598.56
Tipperary,2010H2,577.76
Tipperary,2011H1,572.4
Tipperary,2011H2,564.03
Tipperary,2012H1,552.88
Tipperary,2012H2,545.32
Tipperary,2013H1,533.28
